person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,person_gender,previous_loan_defaults_on_file
-0.6225023379803162,-0.25660041187037486,-0.5615969474541943,-0.8231497548580228,-1.6877493358771507,-0.8008834897871182,-0.4804357441635262,0.46430009563881935,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-0.787920933051668,-0.4112689293565933,-0.5615969474541943,0.22424320467035533,-0.0010610866923955074,1.154322030087291,-0.9960784246801008,0.026851708748334382,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.20459063737644276,1.9023424792858865,0.2629201937160556,0.06554730171151016,0.5634082875367655,-1.1459197580002491,0.8086709571279103,0.10638777909205892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.37000923244779454,0.18699378267141972,0.7576304784182055,-0.5692363101238705,0.8322032276458902,-0.9158955791914953,0.550849616869623,0.9812845528730288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.20459063737644276,-0.08914662777498962,0.2629201937160556,-0.25184450420618015,-0.16905792426059824,-0.34083513216961014,0.550849616869623,0.22569188460764572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.7008464225904981,0.11898755007683522,0.7576304784182055,0.06554730171151016,-1.2509575581998238,-0.34083513216961014,0.2930282766113357,-1.4246815750246384,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.12624655276626082,-0.3890073844350664,-0.3966935192201443,-0.09314860124733501,-0.3135352045692525,0.5792615830654061,0.550849616869623,0.9216325001152355,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0316836127332016,-0.47539688534524316,0.4278236219501056,-0.8072801645621382,-0.0010610866923955074,-0.34083513216961014,0.8086709571279103,-0.5895528364155308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-0.2916651478376126,0.5523226948812187,-0.5615969474541943,-0.7411039730282999,0.09973701584852637,-1.1459197580002491,-0.4804357441635262,-0.470248730899944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2.0241951831613125,-0.4785398312185541,1.9119544760565554,0.6646243353811507,0.6608464533263235,2.3044429241310618,2.0977776584193473,-1.4445655926105696,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
